cleaned_content,sentiment
buruk,0
,2
mes gofood inbox chat driver buka,1
apk gojek langgan notif chat muncul yg warna merah muncul pojok kanan chat pesan gojek pedahal pesan driver yg dapetnya,0
helpfull comfortable,2
simpel,2
bagus,2
aplikasi yg bantu giat sayamudah cepat aman,2
makasih gojek,2
pake gojek,2
kesini aplikasi jelek untung costumer tarif ubah pes tarif lumayan rp rb rp rb tolong baik driver lokasi,0
sayang gk byk promo spt app belah,1
gopay knpa ga bsa top up,0
mantab,2
bantu,2
promo ey wkwk,2
mantapp,2
aneh gua nyari kagak yg nyantol,0
bagus,2
harga nya terjaungkau murah poko,2
coba,1
promo nya,2
gk hemat mahal,0
mantap,2
sen gofood susah dapetin drivernya telat berjamjam,0
download mending maxcim murah gojek mahal kadang driver nya suka korupsi bayar driver kasih k kasih liat drivernya,0
pantesan goto terjun bebas gopay later gopay pinjam ga fungsi,0
,2
terimakasih drever ramah jemput cepat,2
layan cepat praktis hemat jangkau trims gojek,2
kerennn,2
mehnyenangkan,2
mantap diskon gofood,2
kelarangen ongkire,0
ak kasih bntng krena aplikasi ny mmbntu jln kmn aj,2
ok,2
cepat,2
sen makan tunggu ga ngotak resto sepi driver nongkrong daerah situ,0
diskon nya ok,0
ok,2
terimakasih krn jd bantu,2
lumayan,2
kali fitur chat driver pakai,1
drivernya ramah,2
aplikasi gajelas login aja susah ribet banget,0
oke,2
murah ok tolong baik aflikasinyasering kasih alamat salah drivernya,0
nice bro,2
aplikasi bantu bagus tingkat mutu layan sy pakai gofood gojek gocar gosend jg krn sy sdh cocok ngk pindah aplikasi sukses gojek,2
mantap layan,2
payah,0
tau,2
aplikasi nya lancar nya gw ngandelin gofood banget parah harga makan x lipat harga offline ongkir gw pake gofood paksa sebel nya kaya diporotin banget gofoodpengennaikhaji,0
order sulit driver,0
knpa update susah bnget sih,0
smakin sulit dapet driver,0
mantap,2
gak puas banget layan gofoodnya andal,0
kecewa pesan jam gaada konfirmasi chat dng cs bilang antri normal tunggu dapet notif driver pesan batal klo gaada driver info d awaljng nungu jam,0
kasi promo bintang wkwk,2
mantap surantap,2
tolong tambah fitur tanggal ganjil goride plat ganjil terima order tanggal genap goride plat genap terima order mudah tumpang pilih kendara sesuai atur plat ganjilgenap,2
klu sen makan telat kadang jam kadang bayar reguler ekonomi tolong perhati klu chat resto buka biar chat driver pensen terang ajh panas gk gk anget tolong perhati,0
keren,2
layan bagus,2
bagus efektif cepat,2
manfaat,2
gofood gak flutter google map,2
banget jenis kirim gak pilih express kadang batal pesan udah nunggu jam gak konsumen pakai express gak pakai express kadang pesan batal sampai banget,0
ok,2
tolong rang harga jemput makan dll biar pas uang nya ya,2
layan sistem bagus cepat respon nya terkadang aplikasi error,2
aplikasi gojek ok banget nyala,2
keren,2
so far so good,2
ok,2
oks bgt,2
bantu,2
sistem bikin males tulis dapet driver makan udah nunggu batal ga driver makan siap udah nunggunya batal ga dibatalin,0
mantulll,2
ga batal paket gojek plus ga chat dgn cs,2
batal pesan gofood cs bantu,0
kecewa,0
knp banget eror sih gojek udah sen gostasiun eh aplikasi eror gbisa buka barcode scan gbisa sen gojek gabisa batalin tiket krl yg udah sen besok tiket krlnya hangus paksa melipir antri barcodenya ga muncul pas tap maps g gerak bikin suudzon driver nunggu ngga ga jalan untung beneran dateng driver udh menit nungguin kirain internet yg mslh gataunya apk elu,0
ongkir gofood mahal bgt,1
ok bngt butuh,2
bagus,2
bagus,2
tingkat layan,2
bagus cepat,2
harga murah layan bagus,2
top deh,2
mantap,2
allah saat butuh kayak gin bener driver nggk gerak sedih bngtt deadline mepet sumpahh sakit hati bgttt,0
iklan muncul kesel enak enak nonton iklan,0
all good,2
ok,2
,2
layan tingkat,2
layan gak maksim,0
mantap,2
jelek tolak rejeki,0
kasi ih yg pake voucher dapet driver yg km dri lokasi jemput kasi tau,2
membantudi pergi mana pas ga kendara d rumah tarif nya jangkau,2
top,2
bagus sih hp kentang ku kuasa,2
gedeg bgt order gofood jam sampe pizzanya ampe dingin keras gara jln ga pake hemat lewat banget w beli loyang bikin ga nafsu makan gedeg w,0
jemput hujan,0
bantu aktifitas transportasi antar pesan,2
ga guna kasih opsi bantu g bantu atas,0
ok,2
bagussss,2
oke,2
kecewa driver gocar karna cancel langgan disabilitas kemarin cancel kali baik layan,0
good,2
aplikasi lol,0
pesan gosend instantapi driver mutermutersaya order gabungansaya pesan instan order gabung order lainbiaya beban customer mahal layan buruk,0
gila order gofood sampe jam anter gk gera gk tau fungsi aplikasi guna,0
apk bantu banget sihh,2
ok,2
terimakasih,2
bagus,2
driver sopan,2
aplikasi rekomendasi sih,2
senang,2
voucher gratis ongkir,2
ga cancel lokasi jemput tuju balik lokasi titik lokasi jemput arah bolak ubah lokasi tuju bayar dobel,0
ok bantu,2
mantuuuulll dahh,2
drivernya ramah,2
drever ramah sesuaimantap,2
top,2
bantu,2
good,2
bantu,2
eror,1
kasih promo ya harga kompetitif mantap manfaat orang,2
ok,2
go send nya waktulayanannya bagus,2
goodddd,2
tolong banget saat anak sakit makan ga kadang ongkirnya yg luar nurul,2
nyaman,2
banyakin promonya,2
simple keluar,2
kembali uang sengaja nomer salah nomer uang hangus k kembali,0
aplikasi tiada,0
kesini sulit driver jemput kiloitu terlau tumpang nunggu driver sengsara nyatolong order jgn,0
nyaman aman,2
aplikasi udh lelet ya notif server padat,0
moga baca team gojek susah nyari rider manja pindah indrive skrng,0
cs responsif solutif tangan kendala customer,0
terimakasih layan cepat ramah,2
cape bngt drivernya masuk gang cancel posisi lg buru bngt lglayanan gocar nya minus,2
halah mmk ga gua udh habis gb ginian doang g muncul beranda utama kesel suu,0
senang,2
alhamdulillah bantu dgn gojek moga promotrimakasih,2
keren,2
ok,2
cepat,2
gojek is the best for mesya pakai gojek tp sya simpan bintang lg ga kasih fasilitas pinjam paylater yg pakai bbrp langsung kasih kecewa nilai,2
bantu,2
keren,2
bantu,2
beli makan ga sengaja pencet ga batal pesan pesan burukkkkkkkkkkkkkkkkk,0
kurir gosend andal ongkos kirim sesuai potong kurir malas ambil barang klo ambil supermarket yg turun lantai gojek kecewa,0
josss,2
,2
layan bagus,2
bantu,2
sesuai smuanya,2
promonya aplikasi mudah akses ga kendala,2
oke nyaman,2
smua bagus,2
bantu,2
maafsaya kasih bintang karna kecewa banget saldo potong batal transaksikarna pesan gocar gk gerak banget,0
sukaaa promo ngga ribet terimakasih gojek indonesia,2
josss,2
pesan gofood jarak cma menit toko liat ad anter ketmpt jdi jarakny menit kasi drivernya anter ujung ujung makan lambat dingin klo double antar jdi yg arah jgan ujung ujung order pake reguler antar hemat,0
good vibe,2
ok,2
klw pagi capek nungguin drivernya yg dicancel mulu gilir nya ampunsial,0
bantu,2
mudah bantu,2
sll,2
bagus,2
proses cepat,2
bantu,2
muas,2
ok,2
terima kasih utama layan nyaman customer,2
oke,2
simpel proses cepat,2
cool,2
pesan gofood pengirimanya diskon detail bayar nya ongkirnya normal,0
saat urgent gojek bantu jam,2
ok,2
nilai sopir bingung tulis pemberitahuan menu nilai sopir aplikasi bingung scroll kotak isi promo potong scroll,0
driver tdk gerak,0
bantu anak berangkat pagi,2
pake aplikasi kalo mana gampang tinggal klik dehh dondwolod deh akumah bagus banget,2
keren,2
aman trip pakai gojek,2
,0
drivernya belagu banget hubungin suka ga dibales menit dibales udh jalan banget,0
biar bintang yg bicara,2
bantu mudah,2
layan muas,2
mudah mesan,2
kemudi gak sopan,0
kecewa nunggu gofood gak jelas kalo gak driver aja deteksi d resto gak konsumen kasih tau langsung cancel kelaperan nungguin yg gak estimasi jalan menit d menit stuck sampe jam,0
good,2
bagus,2
drivernya gak jemput titik jemput chat gak balas tlf gak angkat nunggu mnt gak pasti hadehhhhh,0
asli kesel bgt sih posisi malem motor cowo bocor nyari tukang tambal ban tutup kumpul gojek cowo samperin krn order eh tanggung login mobile legend haduh ga ngerti lg deh cari rezeki ya tp mlh nolak rezeki milih mobile legend,0
the best,2
layan muas,2
aplikasi rusak ngk bayar top up,0
banyak cencel nungguin bgt,0
bego dftr aja susah bgt,0
mantap sukses slalu,2
sistem buruk tahun baik optimal yg tunggu driver kunjung sistem buruk,0
mksih,2
suka banget gojek bahasa nya ngga baku neng sen apa gojek kalo adain diskon ongkir hehehe,2
gofood telat,0
kebel makannnya bom pencet order masang vocer ko tbtb kebel mo batalin udh gabisa hadehhhhh udh kali bug kek gitu chat cs aja telat lg baru plis batal pesan repot bgt,0
bagus,2
gak pakai aplikasi eh tau nya verifikasi wajah udah kali gagal ribet aja,0
pakai gosend kembaliin barang gojek nya tera udh barang nya terima penerimagak tau deh brangnya ditaro kurir dimna terima penerimamau chat kurir batas nya g chat lgi no kurir g adakalo gin guna susah kena masalahmohon tindak lanjutii,0
cari driver driver nggk driver order jm malam jm malam nggk dicancel gak baik layan jek parah layan,0
bagus,2
transaksi sllu pakai gopay sampe ga gopaylater dana aja udah kasih limit paylater ga apresiasi guna setia gojeg kalo dah limit tambahin bintang nya jd full saat apk mudah taransaksi pake paylater gojeggopay yg sulit ngasih paylater,0
cakep,2
good,2
mantaf,2
udah sen gofood nungguin jam gak ubah status mesan nya paksa dibatalin gak dapet kompensasi maag kambuh loh udah x,0
mntap,2
klo malem susah dapet nya suka dicancel,0
notifikasi jengkel hp yah driver sibukayoo nyerah yuk cari driver sistem gofood rugi pesan makan express jam batal otomatis temu driver aplikasi gojek mainmain orang lapar bintang gak layak,0
bantu bgt,2
bagus bangettt pliss ih slalu dapet diskon goride ribu,2
puluh x nya bayar kalo pesan gofood make express ganti drivernya estimasi lebih tera baik dongs gua chat milik makananyang toko pesan rugi biaya lebihh,0
driver susah nyari pas hujanada telatgausah instal apl pake grab aja,0
kasih paham kerja nya kalo kerja pilih pilih kerja driver alasanya yg sen rame tolong,0
aplikasi bantu,2
komplain gofood dg makan yg lengkap tp cs solusi kes lepas tangan layan buruk bagus layan grab,0
bantu,2
hubung cs tunggu batal suee,0
sih pilih mobil montor mulu,0
oke,2
pesan gofood nunggu jam terang dicariin driver gak batal posisi capek lapar banget puasa eh ujung gak dibatalin aplikasi kesel banget serius maksimal menit gak driver makan tuh jam loh,0
bintang nggak aman bayar makan gopay diamdiam saudara yg mes hp,2
gerimis aja drivernya udh gamau ambil order udh kaya kayak driver gojek ga tindak gojek,0
sampah pesan go food jam ga driver cancel ga sesuai estimasi yaiya orang ga berubahhh aja segitu klo ga sesuai estimasi tuh abad kali lapor cs sistem chat bot ga langsung cs manusia,0
gojek kali alam enak pesan makan dri resto buat driver sistem jalan batal dgn alas tunggu driver chat cs yg balas bot bad,0
gokil keren,2
ni gojek niat kerja ga si sen gofood est jam ditungguin sampe jam ga dapet driver jam lo nunggu laper suruh sen est jam molor gitu aja gomart,0
kirim nya bikin lapar gojek nya ramah,2
promo gojek order gojek banding grab susah dn sulit dibatalin pribadi,0
mantap aplikasi bantu seringsering ya promo hehe,2
simpel,2
batalin pesan gofood jam gajelas bantu chat bantu,0
ramah sopan,2
bintang,2
kasih tau drivernya manja gerimis dikit ga pick up jarak deket gilir sepi order demo order ga pick up tolak aneh banget,0
gojek aman cepat,2
good,2
pesan gofood tunggu jam an harap makan siap tunggu driver driver meng cancel toko nya tutup pesan galon go mart ambil metode bayar gopay x pesan ambil hapus go mart tolong driver restomart nya konfirmasi lelah perut tunggu,0
kalo gofood kadang gak sih pake mode ongkos sampe jam alas driver cancel ambil pesan critanya makan suruh ajar sabar,0
bantu,2
salah pencet order biaa cancle kocak,0
promonya,2
aplikasi baik yg coba,2
kelazz bang,2
bantu pokok,2
gmana gak kecewa ampe makan jd dingin selera makn jd ancurdll guna fodd dll org oderan y d tahan am aplilasi tnggu driver slot yg hrga gila murah ya sdgkan cs bayr full blom lg dr untung dr restoo martabk hmpir rb x dusbrpacs byr rb msuk resto rb blom ongkir cs byr full rb drver cm dpt goceng lo bener gila aplikatortr rakus lo ya allah pantes bnyk driver teriak jgn begituh lo aplikator jahat ya gak yg kekal d dunia,0
benerin tuh machine learning lu cari driver dekat gk jalanjalan mana estimasi menit batal lanjut driver voucher rb kompensasi banding buang kali alami kecewa sistem nya salah baik aja si,0
oke apk nya bagus banget diskon goofodgojek kendara nya bgt potong nya kadang bgt tolong aja penggendara nya ramah pelannggan,1
terimakasih gojek mudah perjalanankuuuuu gojek mapsnya ngga bikin nyasar rumah datengnya cepet ontime drivernya jauhh apk belah mapsnya bikin nyasar ngga diandelin kalo buru kalo gojek selaluuu bisaaa makasihhh banyaakkk driver gojeekkkk,2
kesini promo jdi serba mahal biaya layan dll,0
,2
good,2
kasi promo biar bintang,2
good,2
driver customer gps nya ga sih sinkron nya tuh gps,0
,2
tuh suka susah sen mobil gak dapet buruburu gak andal,1
kecewa bangettt udah nunggu jam ga dapet driver,0
mantep,2
gojek sanggat dukung aktivitas,2
tolong gocare tau cari duit gak promo gocare nyepelein order mentang mentang pake promo dicancel gilir dapet lot lemotin,0
mantap,2
bantu,2
gojek mahal kecewa yg anak kos hemat gabisa puasa gratis ongkir jarang banget gratis ongkir jam ekonomis nya skrng labil banget ubah gak kayak taun salah satu beli martabak rb semenjak ongkir rb alhasil gapernah beli hadeh kecewa,0
ok,2
muas,2
aplikasi gebantu belanja klw malem malem,2
skrg kalo nyari driver bgt kek aplikasi tolol,0
layan muas,2
sen makan hujan tamu nya udah pulang selang jam order driver asem tenan gojek rugi customer driver merchant jahat banget bikin manajemen pikir untung kait rugi limpah user jahat jajah,0
tolong banget kalo pas ujan drivernya pick gabisa pakai gocar wkt hujan gada yg ambil,2
biyarkan bintang yg bicara n suxsesss sellu,2
nice,2
keren,2
bintang yah kadang kalo ambil gojekgocar hemat driverrider ga pick up kalo untung mitra ya ga gocargojek hemat bikin sebel aja,2
nuhun udah bantu perlu,2
apk yg bantu,2
diskon nya donk,2
good,2
gojek parah jam hujan sampe skr jam sore miko mall ga yg maw ambil cancel,0
bagus,2
apasih bejir udh pake prioritas gadapet dapet,0
paham inj susah banget nyantol driver,1
bantu,2
apik nganggo muk,2
nyaman ramah senang,2
udah x nya aplikasi transfer akun gopay masuk korban nya berithukan guna aplikasi hati hati customer service kalu ga selesai masalahmalah suruh hubung bank jago eh sya coba hubung aja nya customer sevice gopay parah hati hati aja,0
bantu kendara cuman sayang kadang kadang driver keluh jarak jemput baik gojek langsung nyantol salah driver aga lelah jarak jemput,2
ok,2
bayar tagih paylater app e nyantol gak loading gilir ntar telat bayar kena denda yg salah baik app nya bos,0
puas,2
pke gosend kurir amanah,2
mantaps bantu mudah jalan,2
pas ujan kadang susah banget dapetin senen gajelas banget ni aplikasi gimana orang kalo udah bilang suami ortu nya gausa jemput gojek trs ujan ga dapet dapet senen aplikasi gajelas hapus aja mending,0
bantu,2
thanka bantu,2
good,2
mudah buka hape,2
aplikator yg kacang lupa kulitnyakalau driver inikalau driver aplikator opanguntuk pimpin gojek keluh mes yg ditanggapipelangan banyak fikiran hatikhusus pelang yg menang sendirigojek tau sulit driver lapang tutup matamulailah guna akal fikiranmu aplikator hati manusia,0
sumpah menu go transit ga si ga tibatiba pindah menj asli jakartabogor yg go transit tau tau gojek rugi uang rugi,0
good job,2
kadang murah kdang mahal,2
batal pesan gofood padah detik pesan tekan cecel tdk,0
keren,2
aplikasi bagus bantu mantul,2
baikk,2
over all baikmaaf kasih nilai nyakrn lupa,2
prima lagisip,2
josss,2
driver sesuai aplikasi takut pulang malam mangkanya aq pulang malam mending pakai grab,0
bismilah mitra percaya,2
aman cepat,2
good job,2
suka gabisa buka inboxx driver toko susah komunikasi,1
antar y cepat,2
keren deh gojek diskon layan oke terima kasih ya,2
good,2
mantap banyakin diskon,2
aplikasi bantu hari promonya,2
ok,2
lancar mantap,2
okkkkkkeeeeee,2
aplikasi jelek set tuju kurang kendara,0
bantu tingkat,2
,2
driver nya ramah wangi,2
promonya,2
bantu hidup hari go send go food bantu aplikasi,2
mantap,2
ok,2
layan ny super bagus,2
senang pakai aplikasi,2
mantap,2
bagus pulang pergi,2
aplikasi guna nggak kendara,2
andal transportasi mana aja,2
bantu aplikasi jemput anak anak pulang sekolah,2
nice thank,2
cucok bagus bgttt,2
bagus,2
mantap,2
mantapp,2
terima kasih,2
tarif mahal ya overall puas sih,2
baksobos mantap driver antar cepat mksh,2
mantap promo,2
sebenernya bagus ya udah setia aplikasi pas login pakai scan wajahudah kali tinggal nomor email kalo bisakatanya pake nomor nomor ga kah gopay sisa situ,0
,2
ya pokok bagus,2
,2
okegas,2
keren,2
mantap layan ramah erti,2
smoga gojek lancarterus tingkat lgi,2
nice pokok,2
moga manfaat,2
,2
kalikali surprise suruh bawa lexus lx turbine sport cc v milik coba kejut tumpang,2
langgan dapet diskon leboh gadapat voucherr diskon apapunn jd nyesel langgan,0
ni hbis dperbharui bayar tunai hilang,0
good,2
good,2
,2
mantap,2
udah tf bom masuksaldo potong udah cs reff,0
masukin saldo gopay hilang vouchernya nyebelin bangeeettt,1
gak diskon,0
seru,2
mantap sip dach pokokny,2
mantap bos,2
bagussss,2
bantu,2
udah aplikasi gojek josss,2
biar bintang bicara,2
joss,2
okk,2
saran gopay pinjam cuman telat bayar aja telpon ngomongnya kasar kayak karyawan nya bekas pinjol ilegal deh,0
ga csnya csnya bot suruh isi fom macem ga nyelesain,0
bagus,2
good aplication,2
bantu murah,2
terimakasih tani,2
murah simple praktisnyaman,2
mantap,2
bantu jalan,2
bantu,2
bantu,2
n ontime pdhl malam bgt kasi tuh driver nyasukses trs n trslah amanah,2
iklan gak jelasgw gak minattt,0
tolong evaluasi mapgps hubung driver melulu udah kali,0
bagus,2
mantap,2
cepat promo,2
aplikasi bagus,2
bagusss banget,2
tolong klo driver cancel kasih ingat sumpah ya pagi gitu batalin alas padhal pake yg prioritas yg hemat kadang nakal duit parkir padhal gk,0
aplikasi bagus tolong kasih driver,2
tolong serta jenis motor badan berat jd ga enak motor pakai comfort yg gimana solusi,1
aplikasi ampas gofood jam gk sampe kelaperan org klw sen gofood dsni udah bner grab aplikasih gk beres,0
kesini jelek driver suka telat nya dateng jam tp jalan anak sekolah bikin telattt muluu belagu bgt ujan dikit sepi bgt gada yg ambil kalo kaya gitu mah skrg pindah grab maxxim,1
moga buka apk nya,2
program promo,2
ok,2
driver gocar suka banget main cancel klo konfirmasi sih gpp ya kalo udah nunggu trus main cancel bikin jengkel nyari driver menit tarif sesuai donk gojeg biar driver senang ga suka main cancel tumpang,1
bantu,2
nya promo nya,2
langgan gojekplus asa useless potong cuman rb gofood jarak max km aja lebih gk potong gk kayak bebas jarak potong ongkir,0
kemudi sopan lapor gojek tanggap,0
bagus layan tpt jemput,2
gopaylater gopay pinjam aplikasi buruk lawak limit pajang doang ngerti bisnis pt mab bocil suka tantrum,0
,2
oke banget,2
recomended banget pesan makan promo gofood juara,2
mantap,2
salah resto driver maaf turun dr bintang,2
bagus sip,2
puas,0
biaya aplikasi semat potong driver order aplikasi nya bug eror ga karuan fix jajah driver mah cek apk gosend driver ambil nomer hp terima pdhl langgan input data nya crosscek lg kalo ga percaya min mimin yg pintar,0
nyaman,2
mon maap knp kembali dana banget ya kerja yg belah aja ga pake langsung bye deh paling,0
bantu medadak butuh cepat,2
ga cancel nunggu jam keburu laper kocak,0
aplikasi sebenrnya bantu tlg cari driver yg jujur perkara pakai voucer driver gamau nganterin makan alhasil makan ga anter klo share foto nya shhare skrg bukti chatannya,2
bantu,2
adain promo pliss kaum mageran whort it bgt udh gtu gojek murah bgttt goceng ya gitulah,2
aplikasi busuk,0
bantu,2
,2
drivernya ramahsopan enak ajak ngbrol pokok top markotop bintang,2
driver gak sen gocar cansel driver sen makan drivernya gak cansel restoran gara gara driver gaka tolong kalo kerja profesional kaya gitu nunggu cansel,0
layan gk lu,0
bagus cepat mudah pese,2
ok dech gojek,2
ok,2
dicancel mulu drivernya,0
complaint seringkali driver yg attitude nya bagus kendara yg layak nyaman aman titik kordinat yg pas driver yg macet hujan susah driver jarang yg ambil biaya mahal,0
cepat terjangkauamanmudah,2
bantu,2
ahhh aplikasi bodoh,0
karna pakai diskon nunggu jam ujung cancel terusga salah sih drivernya ngenteng in karna diskon cancel karna ga ketemu driver sen niat nya cancel pas lanjur beli fitur ga cancel karna langsung masak kalo langsung masak sen kalo ngadain diskon drivernya mending adain diskon,0
yo mntp,2
woi gojek emang kalo mesen trus gak bayar ya gw mesen gojek gw cancel eh pas dateng orang marah marah duit gw uang ganti bensin sampe k ah elah,0
ga komplain,0
gampang laper tinggal gojek ajaaa,2
bagus,2
matiin aja fitur bantu ga bantu pesan gofood tp makan udh selesai sm ojolnya cb helpdesk nya ga bantu krna gaada fitur live chatnya all the bot can say was driver laksana bla bla cb hubung driver hebat arah nomor mana tiga tdk hubung kyk gin konsumen lapor gmn gaada live chat,0
sen makan nunggu jam langsung batal ga ngerti laper ta,0
udah sen makan jam sampe jam terang masak chef chat driver bom dapet drivernya sampe toko tutup,0
apk nggak jelasssssssss kecewaaaaaaaa,0
bantu,2
senankk ngirim barang pake apk lbh mudahh luvv,2
good diskon,2
ok,2
pergi nyaman,2
good,2
bantu,2
aplikasi satu bangsa,2
saangat bantu,2
iya pesan makan telat,1
lengkap mudah fitur gojek,2
jelek,0
beli goplus aja diskon sampe rb udahnya aja gak langgan gimana sih edit maaf ngomongin goride ya bukam gofood,0
ngebatalin pesan nunggu,0
banyak iklan bagus aplikasi,0
solusi emak ga rumah,2
udah nunggu pesan jam eh dibatalin,0
eror beli pulsa aja susah aplikasi nya ngelag mulu payah,0
cepat,2
kocak,0
gak banget oknum drivernya cancel cust nya bilang gak tolong kalo ambil sen yaa nonaktifin apps nya rese gitu cust yg kena dampak gak dilaporin langsung apps email,0
langgan pokok,2
sumpah aplikasi bantu bigindawww tapi plis benerin error nya udah x kecantol driver barusan udah nyampe titik tuju dapet driver dianterinnyampe kecantol driver mohon baik yaa bikin spot jantung ae kasih bintang,2
driver pilihpilih banyak batal driver,0
gojek plus ngasih diskon,0
aplikasi jelekkkk pesan makan jam gak jejek n lemotttt,0
apk gojek lg knp sih gabisa buka,1
pesan go food lambat ongkir mahal harga gofood harga asal benefit untung konsumen,0
gofood ya sebal udah nunggu konfirmasi driver sibuk otomatis batal nyoba order eeeh gitu tolong d baik dongtapi udah males order via gofood,1
aplikasi parah suka batal pesan makan udah nunggu jam hilang konfirmasi saran pake grab shoope food aman divarikan driver,0
dah gofood ongkirnya rb yg rbrb error gimana,0
gacor kang,2
ok,2
okee banget,2
rekomend orang riwayat sakit lambung takut kena sakit lambung wkwkwk support cs windows troubleshoot ngeloop,0
oke,2
cekik driver,0
benerbener jelek layan order food gagal nunggu menit emang gak niat buka order food mending hilang layan foodnya,0
ribet tolak upgrade gopay plus ktp no hp email milik,0
bagus,2
aju gopay pinjam data data ganti data baru,2
nyaman pakai gojek promo safety lindung asuransi jalan kantor adu yuk bagi temen pakai gojekyg promonya konsumen,2
bantu kadang error apknya,2
ga akundisuruh masukin otopinya gatau pin apabikin aja ga,2
keep the good work,2
aneh anjirr pesan gofood aja ongkir,0
sopir gocar tolong arah donk suka omelin tumpang arah jalan dekat bilang atur diam ikut jalan salah jalan salah bilang tanggung kadang peta digocar jalan putar tp larang protes mau ucap terima kasih goride nya mudah ajak kerjasama langgan gojek,2
bantu laparr,2
bantu,2
egois banget ni goofood driver aplikasi cancel order nunggu lamalama gilir custoner cancel alas nya sulit aja langsung uninstall aplikasi order jalan mampus lu,0
driver ambil pesan gofood pesan kali tunggu jam pasti driver ambil pesan cancel,0
top,2
bantu,2
abang seruu,2
good,2
mudah,2
aplikasi bagus ngelag suka hapus aplikasi nya,2
praktis,2
driver ramah,2
,2
tdk hujan jemput cepat,2
smngtt bantu mantapp,2
aplikasi peras belanja go mart barang chat customer service kayak chat bot banget dibandingin aplikasi grab,0
tolong ka baik jgan yg gacor ajah yg ksh order nunggu nya kasi ka yg anyeb pngen dpt order terima kasih sehat yg baik,2
bantu,2
cepat layan nya,2
jaya laut udara darat,2
sen gofood resto yey,2
bagus banget,2
oke mantap,2
gojek baik,2
gojek bantu krn lansia yg tdk pergi terima kasih gojek,2
mantap,2
kacau gojek udh gopayleter dblok gak cacat kali,0
,2
ok aman,2
ok,2
kacau order gocar x ga aplikasi mobil standby jarak driver ga ambil,0
aplikasi bagus pindah banjarmasinharga gocarnya turun pesan gocar batalin pesan harga turun lokasi pesan gocar bayar gopay gocarnya terima bayar aneh nyata tolong baik daerah banjarmasin,1
bantu,2
thanks promo bebas,2
mitra malas sedia ambil order hujan pdhl customer tunggu pesan kena cancel mitra nya nina bobok an klo musim hujan gausah kerja manja,0
mohon maaf iklanya diyoutube ganggu kalo kreativ mah gapapa bikin lagu dipaksain bikin emosi aja iklan gofood,1
bantu,2
gojek transeper nya good job,2
aplikasi mudah,2
gampang,2
mantap,2
kalua murah lagitapi seru pake aplikasi inibagustidak kecewa deh,2
minggu februari jam siang grab car cafe gunung anyar terminal juanda sopir orang madura apk rb kasih rb si sopir gk ngembalikan uang bilang pas yaudah ribut mending sy lapor apk nya saran tolong disiplin drivernya alih grab driver gocarnya tindak lanjut sekian,0
please double order hilang ngasih rating jelek drivernya kasi gara double order nunggu gofoodnya kalo ngasih bijak ngotak lhaa driver tu rekan sapi perah aja harta lu dunia,0
kasihan driver nya kasih ongkos ribu rupiah,0
ok utk aplikasi,2
iklan nya ga x nya gmn sih tetep ngestuck gitu kalo lg buka apk iklan trs mending klo x nya,0
bagus,2
mantappppp,2
bantu,2
mantap,2
masuk akun suruh verifikasi wajah gagal ga nih gojek ga ngapain,0
bagus,2
bantu darurat non darurat,2
senang,2
bagus,2
kemudi ramah,2
mantaps makasih go jeck,2
alam sayaorder,0
jelek bgt ongkir gomart k skrng k pdhl jarak puki,0
ok,2
layan bagus,2
muas semangat,2
gercep polll,2
awesome,2
seruu,2
bagus,2
mantapp,2
bagus bgt,2
bagus appnya gercep,2
susah banget nyari driver cancel gocar banget cancel susah banget,0
lot blm jemput udah jalan aja,2
mudah bantu,2
kecewa dngan gojek sya bli token listriktapi pulsa masukpadahal nomer tokennya sya msukan dngan bnarsya rugisaldo trpotong bgaimna,2
maju semangat,2
bantu,2
aplikasi mudah nyaman kalo ga motor mobil,2
mantap,2
mantapp jasa nya aman nyaman driver nya alhamdulillah,2
mudah cepat,2
,2
gak apk sen makan cancel ngasih tip driver nya udah laper nunggu sampe jam cancel tibatiba bikin emosi aja,0
jelek map ny terkadang pas,0
bantu,2
baik,2
aplikasi bantu manamana diskon,2
gojek bantu jalan mesan makan kirim barang klik imbang kritik hujan driver mohon solusi mana problem,2
mohon tambah fitur tumpang lihat rating yg driver,0
bagus,2
pleasebanyakin promo biar seru gofoodnya hehhee,2
order nya,0
interface jelek no two way communication resto susah urus ganti bbrp resto hubung susah feedback bantu cs gojek nya salah mesan cs kirim pesan olah urus susah u bantu mudah u cancel pesan ulang cancel detik lg,0
driver solutif alternatif,2
susah cari mau komplit google map,1
ok baget,2
aplikasi gojek keren pokok,2
ngebantu aktivitas,2
mantap funny,2
layan butuh konsumen mudah saran transport mana terimakasih,2
ok,2
mantab,2
oke,2
aplikasi kren,2
mantep gojek moga maju,2
bagus,2
pakai promo ongkos mahal customerdan rendah yg terima driver tolong bijak biar untung,1
bagus,2
gojek mantapp,2
bnyk promo,2
mantap,2
senang pakai gojek mudah jalan,2
baik murah,2
bantu,2
payah lokasi jangkau,0
makasih gojek bantu,2
tau gak sempurna alam ganggu hati salah oknum ojek nya nggak bohong perihal tarif kalo offline mahal ongkos nya mas ojek said,2
mudah pergi,2
mantap aplikasi gojek,2
terimakasih bantu,2
ramah,2
puas gojek,2
,2
mmbtu d sa at wktu wktu mepet,2
memeberikan yg baik guna guna peras fitur cari driver jek jek,0
bagus,2
